Name,Comment,tone
dhapola devvansh,गद्दार चैनल का गद्दार रबीज कुमार,{'document_tone': {'tones': []}}
Alakhjot singh,Thanks u Ravish sir May God give u a long happy healthy life Ur name should be written as a true desh Bhagat in future,"{'document_tone': {'tones': [{'score': 0.950754, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Anuj Arya,BJP IT cell murdabad ...,{'document_tone': {'tones': []}}
Anuj Arya,RSS murdabad....,{'document_tone': {'tones': []}}
Anuj Arya,BJP Murdabad...,{'document_tone': {'tones': []}}
Anuj Arya,Ravish bhai zindabad....,{'document_tone': {'tones': []}}
Sushant Khaire,Siddhartha ke liye like kar raha hu<br>Baki kisan sabse pahla baab he usko like bhi karna meri ghustaki hogi,{'document_tone': {'tones': []}}
Dr. Kuldeep Singh,Maine yeh chanal RAVISH KUMAR JI ki bajah se subscribe kiya hai please sach ka hi sath dena,{'document_tone': {'tones': []}}
krishan mohan singh,Shrm aani chahiye bjp or godi media ko .......,"{'document_tone': {'tones': [{'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
Apurba Deka,"@NDTV even your ground reporters are really good! Sensible, fluent","{'document_tone': {'tones': [{'score': 0.800185, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.891222, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.978371, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': '@NDTV even your ground reporters are really good!', 'tones': [{'score': 0.797934, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'Sensible, fluent', 'tones': [{'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
