id,snippet.topLevelComment.snippet.textDisplay,tone
88,This nepotism is everywhere in all fields. Look at even tech companies people in the family are employed in the same company even if they dont have appropriate talents and people who have talents but with no links are killed no time if not literally but definitely mentally. All Tech companies big giants have the same thing.,"{'document_tone': {'tones': [{'score': 0.912059, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.893243, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'This nepotism is everywhere in all fields.', 'tones': [{'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'Look at even tech companies people in the family are employed in the same company even if they dont have appropriate talents and people who have talents but with no links are killed no time if not literally but definitely mentally.', 'tones': [{'score': 0.859411, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': 'All Tech companies big giants have the same thing.', 'tones': [{'score': 0.874372, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
89,I am  missing Sushant Singh Rajput very much. He was a brilliant person.,"{'document_tone': {'tones': [{'score': 0.726337, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.966751, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'I am  missing Sushant Singh Rajput very much.', 'tones': [{'score': 0.770294, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'He was a brilliant person.', 'tones': [{'score': 0.848742, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
90,Canada  usa and other countries should block them from entering to their countries for shows.,"{'document_tone': {'tones': [{'score': 0.532616, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
91,Get a comment from Govinda . He also relate to similar issues on,"{'document_tone': {'tones': [{'score': 0.624243, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.908592, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Get a comment from Govinda .', 'tones': []}, {'sentence_id': 1, 'text': 'He also relate to similar issues on', 'tones': [{'score': 0.563801, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.895415, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
92,The host gave back to komal nahata on his dog face...my heart felt peace,"{'document_tone': {'tones': [{'score': 0.780998, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
93,We love you Sushant.. will be always missed.. hope you are in a better place..RIP,"{'document_tone': {'tones': [{'score': 0.65198, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
94,He is very good person i hope the case be done with justice so his soul rest in peace­čÖĆ­čÖĆ,"{'document_tone': {'tones': [{'score': 0.617515, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
95,Rest in peace...sushant.....u will always be a shining star,"{'document_tone': {'tones': [{'score': 0.584685, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.825035, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
96,"It's a murder simple,it needs to be investigated,love from u.k to sushant.","{'document_tone': {'tones': [{'score': 0.840226, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
97,It will take some time for the news to sink about the tragic death of a fine & talented human being. RIP SSR.,"{'document_tone': {'tones': [{'score': 0.864379, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.947419, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'It will take some time for the news to sink about the tragic death of a fine & talented human being.', 'tones': [{'score': 0.83829, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.704683, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'RIP SSR.', 'tones': [{'score': 0.817988, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
98,Murdered ..just like they once killed ex of sooraj pancholi,"{'document_tone': {'tones': [{'score': 0.928936, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
99,How can I one provide pertinent information of Sushant being bullied to the Forensic team investigating Sushant's death?,{'document_tone': {'tones': []}}
100,Pls cover this every day till he gets the justice,"{'document_tone': {'tones': [{'score': 0.629927, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.866996, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
101,Ppl tell u get inspiration from talented ppl...But really when one inspires they can't tolerate...,"{'document_tone': {'tones': [{'score': 0.895624, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
