id,snippet.topLevelComment.snippet.authorDisplayName,snippet.topLevelComment.snippet.textDisplay,tone
97,dinesha dhanyam,Srinivasan Jain fake reporting exposed. Tricolour not disturbed nor any flag higher than Tricolour.,"{'document_tone': {'tones': [{'score': 0.597807, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.952443, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Srinivasan Jain fake reporting exposed.', 'tones': [{'score': 0.620266, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 1, 'text': 'Tricolour not disturbed nor any flag higher than Tricolour.', 'tones': [{'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
98,Kisaan ekta zindabad,Ridiculous media,"{'document_tone': {'tones': [{'score': 0.775243, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
99,Ponnu Kumar,babri masjid demolition is spontaneous. Likewise it is also spontaneous,"{'document_tone': {'tones': [{'score': 0.596122, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'babri masjid demolition is spontaneous.', 'tones': []}, {'sentence_id': 1, 'text': 'Likewise it is also spontaneous', 'tones': [{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
100,Pretlz Singh,This group of protesters is not part of 40 kisan unions protesting for last 2 months... Images are used by godi media to discredit million farmers protesting peacefully.. what a.shame,{'document_tone': {'tones': []}}
101,Usman Ahmad,"10:48 à¹�ÂŸà¸„à¸ƒà¹�ÂŸà¸„à¸ƒà¹�ÂŸà¸„à¸ƒ ""RS.20 KA DANDA LIYA HAI PHEKNE KA MAN NAHI KIYAA""",{'document_tone': {'tones': []}}
102,ranu98765,They r enjoying,"{'document_tone': {'tones': [{'score': 0.925342, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
103,ranu98765,They r feeling pride let them teach a lesson,"{'document_tone': {'tones': [{'score': 0.611203, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
104,ranu98765,They will give interview only to NDTV,"{'document_tone': {'tones': [{'score': 0.586576, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
105,ranu98765,Shame shame shame,"{'document_tone': {'tones': [{'score': 0.611754, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
106,Choudry Ali,This indin trangaa shame on it in India hindo Muslim Sikh crschen bodi delath live but only bugws on Muslim masjed or gurdwra way?,{'document_tone': {'tones': []}}
107,ranu98765,Anti India channel shame on you,"{'document_tone': {'tones': [{'score': 0.550258, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
108,jhdg,"lol...people making a big deal of minor scuffles. bade bade shehron mein chotti chotti batein hoti rehti hain... (Sharukh Khan, DDLJ)","{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'lol...people making a big deal of minor scuffles.', 'tones': []}, {'sentence_id': 1, 'text': 'bade bade shehron mein chotti chotti batein hoti rehti hain... (Sharukh Khan, DDLJ)', 'tones': []}]}"
109,Sarbjeet Singh,People should be happy that someday is standing up to modi shah gunda gang,"{'document_tone': {'tones': [{'score': 0.799515, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
110,rupinder singh,Achi bezti ki modi sarkar ki ..à¹�ÂŸÂ‘Â�à¹�ÂŸÂ™Â� ..,{'document_tone': {'tones': []}}
111,Vishwakant Singha,Stop playing games with farmers?  Govt Should listen and Give there Right to our country farmers? More than two months Who protect against Feku GODI MEDIA Who Create this Problems and already Spoiled our country?,"{'document_tone': {'tones': [{'score': 0.708054, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.656156, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Stop playing games with farmers?', 'tones': [{'score': 0.528198, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'Govt Should listen and Give there Right to our country farmers?', 'tones': [{'score': 0.64572, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 2, 'text': 'More than two months Who protect against Feku GODI MEDIA Who Create this Problems and already Spoiled our country?', 'tones': [{'score': 0.626518, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.705784, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
112,Sarbjeet Singh,Every body scared of modi and shaw not the brave Khalsa,"{'document_tone': {'tones': [{'score': 0.935347, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.825035, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
113,Sarbjeet Singh,Rss want to make India hindu nation nobody utter a word,{'document_tone': {'tones': []}}
114,Harish Gowda,Why protestors crossed barricades?,{'document_tone': {'tones': []}}
115,Sarbjeet Singh,How long farmers protesting government is not listening ità¹‚Â€Â™s very frustrating,"{'document_tone': {'tones': [{'score': 0.635515, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
116,Sarbjeet Singh,Nice day at red fort,"{'document_tone': {'tones': [{'score': 0.566087, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
117,Panjabi Sher,Pirme Minister Modi needs to follow Joe Biden's policy on domestic terrorisim.,{'document_tone': {'tones': []}}
118,Ghumakkad S,Naxal media on job ..,{'document_tone': {'tones': []}}
119,vasudha athavale,Is NDTV a party of spreading misinformation that bullets were fired,{'document_tone': {'tones': []}}
120,A Whig,Selective Definition of a peaceful rally. 1. Start earlier than agreed upon time. 2. Change route arbitrarily. 3. Tear and disrespect to national flag on route. 4. Threaten police force with batons and swords. 5. Damage public property. 6. Enter restricted premises like Red Fort. 7. Furl khalistani / religious flag on national monuments (religious flags in a Farmers rally???.... Was it a religious rally or farmer's rally???),"{'document_tone': {'tones': [{'score': 0.509901, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.680396, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.775112, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Selective Definition of a peaceful rally.', 'tones': [{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': '1. Start earlier than agreed upon time.', 'tones': [{'score': 0.589489, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 2, 'text': '2. Change route arbitrarily.', 'tones': [{'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 3, 'text': '3. Tear and disrespect to national flag on route.', 'tones': []}, {'sentence_id': 4, 'text': '4. Threaten police force with batons and swords.', 'tones': [{'score': 0.681342, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 5, 'text': '5. Damage public property.', 'tones': [{'score': 0.518489, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 6, 'text': '6. Enter restricted premises like Red Fort.', 'tones': [{'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 7, 'text': ""7. Furl khalistani / religious flag on national monuments (religious flags in a Farmers rally???.... Was it a religious rally or farmer's rally???)"", 'tones': []}]}"
121,Nibit Chatterji,Why the Lathis?  To use it like a bat against the teargas lol .  or even self defense.  people have been shot yes?  Democracy did win today. And Government is not above the Popular Interest.,"{'document_tone': {'tones': [{'score': 0.515361, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.512095, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.955374, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Why the Lathis?', 'tones': []}, {'sentence_id': 1, 'text': 'To use it like a bat against the teargas lol .', 'tones': [{'score': 0.509489, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 2, 'text': 'or even self defense.', 'tones': [{'score': 0.610014, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.998976, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 3, 'text': 'people have been shot yes?', 'tones': []}, {'sentence_id': 4, 'text': 'Democracy did win today.', 'tones': [{'score': 0.651166, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 5, 'text': 'And Government is not above the Popular Interest.', 'tones': []}]}"
122,Nidhi Rauthan,But this violence will mar the effects of this protest.,"{'document_tone': {'tones': [{'score': 0.507954, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
124,Nidhi Rauthan,It is easy to judge them but when we are in their shoes we might get much violent and easily triggered.,"{'document_tone': {'tones': [{'score': 0.584501, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
125,Nathan Bahirathan,"Farmers never wanted to negotiate, what would have happened if the government put Security Forces in large numbers?","{'document_tone': {'tones': [{'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
126,Nidhi Rauthan,I m not supportive of violence but farmers distress had to found a way out. It is evident how much pained they are.,"{'document_tone': {'tones': [{'score': 0.608158, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.968663, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.61644, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'I m not supportive of violence but farmers distress had to found a way out.', 'tones': [{'score': 0.592505, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.645985, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.61476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'It is evident how much pained they are.', 'tones': [{'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
127,Us 2020,"à¤¯à¥‡ à¤…à¤¨à¥�à¤¨ à¤‰à¤—à¤¾à¤¤à¥‡ à¤¹à¥ˆ à¤¤à¥‹ à¤ªà¥ˆà¤¸à¥‹ à¤•à¥‡ à¤²à¤¿à¤� à¤•à¥‹à¤ˆ à¤¦à¥‡à¤¶à¤µà¤¾à¤¸à¤¿à¤¯à¥‹ à¤•à¥‹ à¤®à¥�à¤«à¥�à¤¤ à¤•à¤¾ à¤…à¤¨à¥�à¤¨ à¤¨à¤¹à¥€ à¤¦à¥‡à¤¤à¥‡, à¤¹à¤® à¤ªà¥ˆà¤¸à¥‡ à¤¦à¥‡à¤•à¤° à¤…à¤¨à¤¾à¤œ à¤–à¤°à¥€à¤¦à¤¤à¥‡ à¤¹à¥ˆ, à¤•à¤¿à¤¸à¤¾à¤¨ à¤•à¥‹à¤ˆ à¤…à¤¹à¤¸à¤¾à¤¨ à¤¨à¤¹à¥€ à¤•à¤°à¤¤à¥‡, à¤¦à¥‚à¤¸à¤°à¥‡ à¤µà¥�à¤¯à¤µà¤¸à¤¾à¤¯ à¤•à¥€ à¤¤à¤°à¤¹ à¤•à¤¿à¤¸à¤¾à¤¨à¥€ à¤­à¥€ à¤�à¤• à¤µà¥�à¤¯à¤µà¤¸à¤¾à¤¯ à¤¹à¥ˆ, à¤…à¤¬ à¤‡à¤¨à¤•à¥‡ à¤¸à¤¾à¤¥ à¤•à¥‹à¤ˆ à¤¸à¤¹à¤¾à¤¨à¥�à¤­à¥‚à¤¤à¤¿ à¤¨à¤¹à¥€ à¤¹à¥ˆ, à¤¯à¥‡ à¤­à¥‹à¤²à¥‡ à¤­à¤¾à¤²à¥‡ à¤•à¤¿à¤¸à¤¾à¤¨ à¤¨à¤¹à¥€ à¤¹à¥ˆ, à¤†à¤¤à¤‚à¤•à¤µà¤¾à¤¦à¥€ à¤¹à¥ˆ",{'document_tone': {'tones': []}}
128,Sanjay Agnihotri,à¤°à¤¾à¤·à¥�à¤Ÿà¥�à¤° à¤§à¥�à¤µà¤œ à¤•à¥‡ à¤¸à¤¾à¤¥ à¤–à¤¿à¤²à¤µà¤¾à¥œ à¤”à¤° à¤‰à¤¸à¤¸à¥‡ à¤…à¤ªà¤¨à¥‡ à¤¸à¤®à¥‚à¤¹ à¤•à¥‡ à¤�à¤‚à¤¡à¥‡ à¤¸à¥‡ à¤¬à¤°à¤¾à¤¬à¤°à¥€ à¤¦à¥�à¤µà¤¾à¤°à¤¾ à¤¯à¥‡ à¤¤à¤¥à¤¾à¤•à¤¥à¤¿à¤¤ à¤…à¤¨à¥�à¤¨à¤¦à¤¾à¤¤à¤¾ à¤•à¥�à¤¯à¤¾ à¤¸à¤¾à¤¬à¤¿à¤¤ à¤•à¤°à¤¨à¤¾ à¤šà¤¾à¤¹à¤¤à¥‡ à¤¹à¥ˆà¤‚ ? à¤²à¤¾à¤¨à¤¤ à¤¹à¥ˆ !,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'à¤°à¤¾à¤·à¥�à¤Ÿà¥�à¤° à¤§à¥�à¤µà¤œ à¤•à¥‡ à¤¸à¤¾à¤¥ à¤–à¤¿à¤²à¤µà¤¾à¥œ à¤”à¤° à¤‰à¤¸à¤¸à¥‡ à¤…à¤ªà¤¨à¥‡ à¤¸à¤®à¥‚à¤¹ à¤•à¥‡ à¤�à¤‚à¤¡à¥‡ à¤¸à¥‡ à¤¬à¤°à¤¾à¤¬à¤°à¥€ à¤¦à¥�à¤µà¤¾à¤°à¤¾ à¤¯à¥‡ à¤¤à¤¥à¤¾à¤•à¤¥à¤¿à¤¤ à¤…à¤¨à¥�à¤¨à¤¦à¤¾à¤¤à¤¾ à¤•à¥�à¤¯à¤¾ à¤¸à¤¾à¤¬à¤¿à¤¤ à¤•à¤°à¤¨à¤¾ à¤šà¤¾à¤¹à¤¤à¥‡ à¤¹à¥ˆà¤‚ ?', 'tones': []}, {'sentence_id': 1, 'text': 'à¤²à¤¾à¤¨à¤¤ à¤¹à¥ˆ !', 'tones': []}]}"
129,pm m,"""Peaceful""","{'document_tone': {'tones': [{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
130,Ghulam Rasool,Khalistan go boys go u need a country of ur own â�¤ï¸�â�¤ï¸�â�¤ï¸�â�¤ï¸�â�¤ï¸�ðŸ�’ðŸ�“ðŸ�ŽðŸ�‰,{'document_tone': {'tones': []}}
131,pm m,These 'protesters' might have planned more to provoke police & project it differently with their media partners. But got fizzled out. Yet this media after fanning the 'protest' so long tries to be 'liberal' 'progressive'.. underplaying the anti-republic violence.... may be this channel mistook 'republic' to be 'republic channel'. No mr.Jain you have done a lot of disservice to the national interest may be misguided by your ideological stereotypes.,"{'document_tone': {'tones': [{'score': 0.926543, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': ""These 'protesters' might have planned more to provoke police & project it differently with their media partners."", 'tones': [{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'But got fizzled out.', 'tones': []}, {'sentence_id': 2, 'text': ""Yet this media after fanning the 'protest' so long tries to be 'liberal' 'progressive'.. underplaying the anti-republic violence.... may be this channel mistook 'republic' to be 'republic channel'."", 'tones': [{'score': 0.534455, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 3, 'text': 'No mr.Jain you have done a lot of disservice to the national interest may be misguided by your ideological stereotypes.', 'tones': [{'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
132,Entertainment 9,20rs me kharida tha fekne Ka bilkul man nhi haiðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,{'document_tone': {'tones': []}}
133,Chandramani Kumar,"I have seen the movie ""NAYAK""Anil kapoor movie  same sceneðŸ˜‘ Amrish puri as CM dilok ( no arrest no tear gas woh chillatey hai toh chillane do pehlay chillayegay baad main thak jaayengay phir bhool jaauengay) ðŸ¤”ðŸ¤”ðŸ¤”",{'document_tone': {'tones': []}}
134,Harsh Dave,"title of the video,is itself ironic","{'document_tone': {'tones': [{'score': 0.523845, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
135,anubhav jauhari,Chutia channel covering anpadh chutia junta! All should be booked and charged!!,"{'document_tone': {'tones': [{'score': 0.971165, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Chutia channel covering anpadh chutia junta!', 'tones': []}, {'sentence_id': 1, 'text': 'All should be booked and charged!!', 'tones': [{'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
136,Song Games,Shame on bjp,"{'document_tone': {'tones': [{'score': 0.512279, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
137,Parik Matt,If Hindus had done the same thing no one would have questioned them,"{'document_tone': {'tones': [{'score': 0.589295, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
138,SANJEEV KUMAR,Why this channel comes for damage control after every chaos and agitations and always trying to save the goons.,"{'document_tone': {'tones': [{'score': 0.783854, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
139,Aakash deep,"Thats not the point, that security was not there so we will spread violence. Actually Police men should not be beatten.","{'document_tone': {'tones': [{'score': 0.927401, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Thats not the point, that security was not there so we will spread violence.', 'tones': []}, {'sentence_id': 1, 'text': 'Actually Police men should not be beatten.', 'tones': [{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
140,Daryll Davis,The laws were made for the farmers by the government.  But the farmers donâ€™t want the law. Q: Then why is the government adamant to keep the law?  A: Itâ€™s very clear that the govt has the law for SOMEONE ELSE and not the farmer. Simple  If the government had abandoned this law long back this would not have happened. If this is happening now then it means that the govt wanted this to happen.,"{'document_tone': {'tones': [{'score': 0.667474, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.665929, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.902923, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'The laws were made for the farmers by the government.', 'tones': [{'score': 0.527345, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'But the farmers donâ€™t want the law.', 'tones': [{'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 2, 'text': 'Q: Then why is the government adamant to keep the law?', 'tones': [{'score': 0.579436, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 3, 'text': 'A: Itâ€™s very clear that the govt has the law for SOMEONE ELSE and not the farmer.', 'tones': [{'score': 0.618503, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 4, 'text': 'Simple  If the government had abandoned this law long back this would not have happened.', 'tones': [{'score': 0.506467, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 5, 'text': 'If this is happening now then it means that the govt wanted this to happen.', 'tones': [{'score': 0.717764, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
141,S A,bharat mata ko iss ke spooot roads pr gseet rhi hay hain..well done modi and team,{'document_tone': {'tones': []}}
142,Rishika Dubey,26th january ko goli nhi chlate policemen. No policemen was given guns today.,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': '26th january ko goli nhi chlate policemen.', 'tones': []}, {'sentence_id': 1, 'text': 'No policemen was given guns today.', 'tones': []}]}"
143,Johnson Immanuel,"when they sent water cannons and police latties when farmers were entering Delhi, why did not the do the same here. nice political play by BJP, sending fake gundas to join the peacefully protesting farmers, and made sure only limited police security is at the red fort and got this all atrocities done at red fort.  Well played...   stop all the protest, stop everything.. let the BJP do what ever it wants.. let the BJP loot the india middle class, indian farmers, indian lower class... let it make the rich get more rich..   let the poor get more poor..     BJP are planning and executing there great master plans..  and we are nothing in front of them...","{'document_tone': {'tones': [{'score': 0.509945, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.572997, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.550668, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.863617, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'when they sent water cannons and police latties when farmers were entering Delhi, why did not the do the same here.', 'tones': []}, {'sentence_id': 1, 'text': 'nice political play by BJP, sending fake gundas to join the peacefully protesting farmers, and made sure only limited police security is at the red fort and got this all atrocities done at red fort.', 'tones': [{'score': 0.67107, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 2, 'text': 'Well played...   stop all the protest, stop everything.. let the BJP do what ever it wants.. let the BJP loot the india middle class, indian farmers, indian lower class... let it make the rich get more rich..   let the poor get more poor..     BJP are planning and executing there great master plans..  and we are nothing in front of them...', 'tones': [{'score': 0.525603, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.569309, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.550876, 'tone_id': 'anger', 'tone_name': 'Anger'}]}]}"
144,Nandini Dasgupta,"Interesting... The man who instigated a particular group of protesters just the previous night, and lead the violence and placed that flag on red fort- great ""Deep Sidhu"" happens to be Campaign Manager of Sunny Deol (BJP)...and seen in multiple photos with Modi and Amit Shah! Coincidence? Or....??","{'document_tone': {'tones': [{'score': 0.845118, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Interesting...', 'tones': []}, {'sentence_id': 1, 'text': 'The man who instigated a particular group of protesters just the previous night, and lead the violence and placed that flag on red fort- great ""Deep Sidhu"" happens to be Campaign Manager of Sunny Deol (BJP)...and seen in multiple photos with Modi and Amit Shah! Coincidence?', 'tones': [{'score': 0.589622, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 2, 'text': 'Or....??', 'tones': [{'score': 0.99997, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
145,Arun Sar,Reality Check | Mostly Beneficial Farm Laws marred by opposition from vested interests.,"{'document_tone': {'tones': [{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
146,Parik Matt,"Everybody condemns violence.but this cruel government has forced farmers to go up to this extent. People who speak against farmers will not realise this as they have not lost their loved ones. Farmers have lost more than 150 valuable lives in this farmer protest. Still, there has not been a single word of condolence from PM Modi.","{'document_tone': {'tones': [{'score': 0.77966, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Everybody condemns violence.but', 'tones': []}, {'sentence_id': 1, 'text': 'this cruel government has forced farmers to go up to this extent.', 'tones': [{'score': 0.667719, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': 'People who speak against farmers will not realise this as they have not lost their loved ones.', 'tones': [{'score': 0.560674, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 3, 'text': 'Farmers have lost more than 150 valuable lives in this farmer protest.', 'tones': [{'score': 0.801144, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 4, 'text': 'Still, there has not been a single word of condolence from PM Modi.', 'tones': [{'score': 0.695766, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
147,jay Sagoo,"You can be there, why cant anyone else?","{'document_tone': {'tones': [{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
148,Pranav Kakkar,Farmers have desecrated the movement by doing this.,"{'document_tone': {'tones': [{'score': 0.537484, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
149,Dulal Kumar Chakraborty,"There is a limit to everything. None but a fool thinks that a negotiation with the Govt. & agitating farmers can continue for good without violence. After a critical point slowly suspicion, mistrust, frustration, anger & finally violence are sure to follow each other. Primary-school drop-out Modi learnt from RSS only & only one thing through-out his all life -- ""meet all descent with corporal or brutal force"" which often result in equal & opposite retaliatory action. Modi introduced the bill without any prior consultation with the farmers' body & while negotiating Govt.stretch the limit to a length of absurdity compelling the situation to spiral out of hand & that detonated the burst of captivated anger erupting, unprecedented violence. Govt is totally, entirely & absolutely responsible for such mayhem similar to merciless genocide of minority in Delhi riot.","{'document_tone': {'tones': [{'score': 0.530087, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.673369, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.619886, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.841532, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'There is a limit to everything.', 'tones': []}, {'sentence_id': 1, 'text': 'None but a fool thinks that a negotiation with the Govt.', 'tones': [{'score': 0.719665, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': '& agitating farmers can continue for good without violence.', 'tones': [{'score': 0.66028, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 3, 'text': 'After a critical point slowly suspicion, mistrust, frustration, anger & finally violence are sure to follow each other.', 'tones': [{'score': 0.629757, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.6821, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 4, 'text': 'Primary-school drop-out Modi learnt from RSS only & only one thing through-out his all life -- ""meet all descent with corporal or brutal force"" which often result in equal & opposite retaliatory action.', 'tones': [{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 5, 'text': ""Modi introduced the bill without any prior consultation with the farmers' body & while negotiating Govt.stretch the limit to a length of absurdity compelling the situation to spiral out of hand & that detonated the burst of captivated anger erupting, unprecedented violence."", 'tones': []}, {'sentence_id': 6, 'text': 'Govt is totally, entirely & absolutely responsible for such mayhem similar to merciless genocide of minority in Delhi riot.', 'tones': [{'score': 0.619629, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
