Name,Comment,tone
Vinay Singh Thakur,Mukesh aur Saurabh dono sachh batane wale the ki uss khalistani kisaan ki maut police ke firing se nhi aapas ki moothbhed se hui hai🙏🙏<br>Sachh bataya jaaye. Jo flag India ke alawa laga hua hai wo Khalistani Flag hai🤬🤬🤬.,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Mukesh aur Saurabh dono sachh batane wale the ki uss khalistani kisaan ki maut police ke firing se nhi aapas ki moothbhed se hui hai🙏🙏<br>Sachh bataya jaaye.', 'tones': []}, {'sentence_id': 1, 'text': 'Jo flag India ke alawa laga hua hai wo Khalistani Flag hai🤬🤬🤬.', 'tones': []}]}"
Miky,"Shame on u ndtv ur urban Naxalite jnu and caa supporter, don&#39;t misguide people","{'document_tone': {'tones': [{'score': 0.526084, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Acme Design,"TUJHE DEKHNA NAHI AATA,,, ENKOR,,,,,, YE AARAJAK TAVAVE NAHI ,,, KITNAY ,,,, YE TOO SARAY HAI,,,,,,,, ISSS NEW CHANAL KOOO KOI NAHI DEKHNAAA",{'document_tone': {'tones': []}}
Camran Ali,Isn&#39;t shamefully that kisan out of homes 5more than 5 months .....but u never gonna talk about it..cuz u sell ur soul to bjp nd talking false about innocent  kusan.. v shamefully...and finely when u have no excuse  then u put all blame to Pakistan...,"{'document_tone': {'tones': [{'score': 0.681724, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Camran Ali,Lanat tum pr aur media pr Jo modi ke Black face show nhe kr rhe ho kisan try to see there future ...v shamefull no won raise  voices foe kusan......wish to snd thousands  time lanat on ur faces cuz u guys protesting  criminal moddi.,"{'document_tone': {'tones': [{'score': 0.535283, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Jamsheer Jamsheer,Jai kissan,{'document_tone': {'tones': []}}
rehan officals Mohsin,Abi Tu kuch bhi nahi howa,{'document_tone': {'tones': []}}
Ashfaq Mangi,"Modi RSS,BJP breaking the India","{'document_tone': {'tones': [{'score': 0.568276, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
अफसाना अफसाना,M I&#39;m nl,{'document_tone': {'tones': []}}
GamingVijay YT,Yeh Modi jo soch liya usko palta nahi.।।।,{'document_tone': {'tones': []}}
Tabish Bhat,Sikh bhaiyo qadam badao kashmiri tumhare sath hai 😍😘,"{'document_tone': {'tones': [{'score': 0.896664, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
,,{'document_tone': {'tones': []}}
,,{'document_tone': {'tones': []}}
GAJENDRA PARAKH,We are sorry you are supporting rule defilers with your heading,{'document_tone': {'tones': []}}
A N P,Great news reader nidhi.👌👌👌👌🙏🏻🙏🏻🙏🏻<br>Her calmness is commendable <br>I wish newsreaders are like her.<br>Others are all provoking type,"{'document_tone': {'tones': [{'score': 0.579799, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.808712, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Great news reader nidhi.👌👌👌👌🙏🏻🙏🏻🙏🏻<br>Her', 'tones': [{'score': 0.697673, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'calmness is commendable <br>I wish newsreaders are like her.<br>Others are all provoking type', 'tones': []}]}"
