,Reply,Published,sentiment
83,"['bona', 'rodrigues', 'whats', 'weaked', 'creature', 'miss', 'thats', 'happen', 'convert', 'piece', 'bread', 'bag', 'rice', 'alleluia', 'praise', 'laude']",2021-07-07T00:12:00Z,0.4588
84,"['bona', 'rodrigues', 'say', 'quotborn', 'sinnerquot']",2021-07-07T01:16:11Z,0.0
181,"['jam', 'watkins', 'worry', 'earth', 'soon', 'clesned', 'quotborn', 'sinnersquotand', 'lord', 'happy']",2021-07-07T01:18:17Z,0.2023
55,"['police', 'maharastra', 'help', 'lynch', 'palghar', 'sadhu']",2021-07-07T01:20:41Z,0.4019
130,"['sanatani', 'first', 'shift', 'goal', 'post', 'per', 'convenience', 'call', 'activist', 'quothuman', 'rightsquot', 'applicable', 'sadhu', 'phalagar']",2021-07-07T02:04:34Z,0.0
24,"['look', 'real', 'matter', 'humanity', 'christian', 'govt', 'happen', 'religious', 'persontotal', 'injustice']",2021-07-07T02:29:41Z,-0.5574
40,"['learn', 'truth', 'first', 'gaddhar', 'kill', 'thousand', 'innocent', 'people']",2021-07-07T04:47:09Z,-0.25
85,"['sanatani', 'first', 'quotmaoist', 'thug', 'quotcan', 'list', 'charge', 'prove', 'quotthug', 'quot', 'court', 'without', 'curse', 'abuse', 'anyone']",2021-07-07T04:52:32Z,0.7366
41,"['shri', 'peter', 'narayan', 'know', 'fact', 'first', 'reply', 'reply', 'sadful']",2021-07-07T06:06:46Z,0.0
15,"['india', 'today', 'leave', 'lobby', 'call', 'human', 'right', 'activist', 'sadhu', 'lynch', 'palghar', 'human', 'be']",2021-07-07T06:40:56Z,-0.0258
256,"['social', 'activist', 'think', 'change', 'dictionary']",2021-07-07T07:14:16Z,0.0
175,"['fool', 'say', 'evidence', 'careful', 'tarnish', 'image', 'person', 'baseless', 'bakwaas', 'uapa', 'bakwas', 'hai', 'murder', 'voiceless', 'powerless']",2021-07-07T07:23:09Z,-0.8807
159,"['sanatani', 'first', 'low', 'fall', 'human', 'right', 'activist', 'people', 'like', 'black', 'mark', 'hinduism', 'end', 'day', 'life', 'work', 'sacrifice', 'label']",2021-07-07T07:28:58Z,0.1027
117,"['bona', 'rodrigues']",2021-07-07T07:33:51Z,0.0
203,"['sanatani', 'first', 'read', 'buddhist', 'persecution', 'hindu', 'king', 'upper', 'caste', 'persecution', 'lower', 'caste', 'sanatani', 'history', 'pious', 'either', 'go', 'tend', 'cow']",2021-07-07T07:39:46Z,-0.296
160,"['surya', 'ravi', 'lol', 'zimmi', 'talk', 'hinduism', 'support', 'antihindu', 'evangelist', 'naxalite', 'every', 'jihadi', 'naxalite', 'india', 'claim', 'human', 'right', 'activist', 'wonder', 'come', 'single', 'one', 'come', 'support', 'kashmiri', 'hin']",2021-07-07T07:59:07Z,0.802
138,"['father', 'stan', 'go', 'heaven', 'chaiwala', 'chela', 'ch', 'go', 'hell']",2021-07-07T08:40:49Z,-0.3182
13,"['foolwe', 'support', 'truehes', 'chowkidar']",2021-07-07T08:43:13Z,0.4019
86,"['wise', 'people', 'say', 'bjp', 'people', 'r', 'die', 'cancer']",2021-07-07T08:50:18Z,-0.7351
87,"['jai', 'prakash', 'believe', 'screw', 'pm', 'become', 'clown']",2021-07-07T09:05:27Z,-0.1027
88,"['sanatani', 'first', 'say', 'guy', 'vote', 'religious', 'extremist']",2021-07-07T09:06:32Z,0.0
89,"['shomik', 'basuray', 'lol', 'thug', 'shout', 'slogan', 'court', 'afzal', 'guru', 'give', 'sentence', 'thug']",2021-07-07T09:19:05Z,0.4767
7,"['frstan', 'real', 'hero', 'adivasi', 'always', 'remember', 'among', 'adivasi']",2021-07-07T09:24:38Z,0.5574
90,"['sanatani', 'first', 'perhaps', 'comprehension', 'issuescould', 'please', 'address', 'question', 'ask']",2021-07-07T09:48:54Z,0.3182
91,"['shomik', 'basuray', 'address', 'maybe', 'go', 'search', 'chargesheet', 'activity', 'also', 'look', 'youtube', 'video', 'socalled', 'human', 'right', 'activist', 'jihadis', 'maoist', 'nothing', 'secretive']",2021-07-07T10:19:17Z,0.0
10,"['u', 'guy', 'two', 'innocent', 'saint', 'lynch', 'phalgarconversions', 'anti', 'national', 'activity', 'state', 'tolerate']",2021-07-07T10:30:02Z,0.0258
161,"['sanatani', 'first', 'man', 'really', 'desperate', 'butthurt', 'reply', 'comment']",2021-07-07T10:30:25Z,-0.3804
11,"['remember', 'dispensation', 'control', 'vatican', 'journalist', 'like', 'guy', 'merit', 'congress', 'agent', 'bark', 'modiji', 'whenever', 'get', 'chance', 'make', 'difference']",2021-07-07T10:32:34Z,0.743
92,"['lata', 'raymond', 'kind', 'wisdom', 'quotborn', 'sinnersquot', 'utterly', 'disgust']",2021-07-07T11:06:31Z,0.3832
139,"['lata', 'raymond', 'okyou', 'follow', 'asap']",2021-07-07T11:20:59Z,0.0
176,"['dennismurmu', 'sdb', 'frustrate']",2021-07-07T11:21:55Z,-0.4588
16,"['feel', 'get', 'lose']",2021-07-07T11:26:08Z,-0.4019
152,"['death', 'murder']",2021-07-07T11:48:23Z,-0.8625
17,"['death', 'murder']",2021-07-07T11:48:46Z,-0.8625
18,"['manmath', 'singhdeo']",2021-07-07T12:14:21Z,0.0
59,"['leave', 'paradiseasap']",2021-07-07T12:18:07Z,-0.0516
239,"['shame', 'government', 'year', 'independence', 'still', 'poverty']",2021-07-07T12:19:52Z,-0.7506
19,['humanity'],2021-07-07T12:24:01Z,0.0
20,"['manmath', 'singhdeo', 'say', 'slave']",2021-07-07T12:36:00Z,0.0
21,"['death', 'murder']",2021-07-07T12:43:10Z,-0.8625
12,"['gobar', 'bhakt', 'allegation', 'prove', 'fight', 'right', 'exploit', 'vulnerable', 'section', 'society', 'never', 'bow', 'greedy', 'corporates', 'govt', 'hero']",2021-07-07T14:21:00Z,0.1685
58,"['community', 'take', 'care', 'innocent', 'adivasis', 'dalits', 'instead', 'trample', 'need', 'community', 'step', 'help']",2021-07-07T15:21:50Z,0.8074
14,"['right', 'think', 'people', 'know', 'recognise', 'truth', 'mr', 'pant', 'comment', 'hold', 'value']",2021-07-07T15:26:56Z,0.5719
26,"['really', 'u', 'wher', 'sleep', 'fr', 'rip', 'miss', 'u', 'fr']",2021-07-07T15:49:27Z,-0.1531
93,"['lata', 'raymond', 'least', 'dont', 'lick', 'random', 'dvd', 'cure', 'cancer', 'rice', 'bag', 'shame', 'seem']",2021-07-07T16:47:39Z,-0.8176
8,"['live', 'saint', 'also', 'dead', 'rice', 'bag', 'confuse']",2021-07-07T16:50:06Z,-0.7351
240,"['whats', 'deal', 'bengali']",2021-07-07T16:52:55Z,0.0
43,"['trust', 'govt', 'missionary', 'ulterior', 'motif']",2021-07-07T17:00:13Z,0.5106
42,"['trust', 'govt', 'missionary', 'ulterior', 'motif']",2021-07-07T17:00:29Z,0.5106
27,"['trust', 'govt', 'missionary', 'ulterior', 'motif']",2021-07-07T17:00:44Z,0.5106
241,"['trust', 'govt', 'missionary', 'ulterior', 'motif']",2021-07-07T17:01:10Z,0.5106
60,['lol'],2021-07-07T17:01:43Z,0.4215
61,"['father', 'swami', 'name', 'tell', 'lot', 'thing', 'chance', 'twist', 'man', 'trust', 'govt', 'missionary', 'ulterior', 'motif']",2021-07-07T17:02:32Z,0.6486
51,"['r', 'save', 'must', 'convert']",2021-07-07T17:03:15Z,0.4939
257,"['wt', 'business', 'father', 'near', 'adhivasis', 'certainly', 'suspicious', 'trust', 'govt', 'missionary', 'ulterior', 'motif']",2021-07-07T17:04:16Z,0.4939
258,"['chase', 'missionary']",2021-07-07T17:04:52Z,0.0
131,"['trust', 'govt', 'missionary', 'ulterior', 'motif', 'missionary', 'r', 'dark']",2021-07-07T17:06:05Z,0.5106
94,"['trust', 'govt', 'missionary', 'ulterior', 'motif']",2021-07-07T17:07:38Z,0.5106
95,"['medium', 'waste', 'time', 'mischief', 'missionary']",2021-07-07T17:08:21Z,-0.6486
269,"['bla', 'work', 'missionary', 'ashivasis', 'good', 'example', 'set', 'govt']",2021-07-07T17:09:35Z,0.4404
96,"['alvanor', 'elf', 'im', 'christian', 'language', 'medias', 'modern', 'day', 'juda', 'know', 'backstabbing', 'luke', 'abrahamic', 'cult']",2021-07-07T17:12:43Z,0.0
97,"['jai', 'prakash', 'see', 'rich', 'wisdom', 'india', 'realize', 'mischief', 'abrahamic', 'religion', 'r', 'try', 'play', 'bring', 'indian', 'native', 'religion', 'indian', 'wisdom', 'greater', 'anything', 'world']",2021-07-07T17:23:04Z,0.9153
132,"['alvanor', 'elf', 'exactly']",2021-07-07T17:43:16Z,0.0
64,"['btw', 'responsibility', 'prison', 'department', 'take', 'care', 'himwhich', 'come', 'state', 'govtmva', 'govt']",2021-07-07T18:27:33Z,-0.0258
65,"['sindhoor', 'rai', 'dont', 'want', 'bring', 'little', 'creature', 'central', 'agency', 'like', 'nia', 'compromise', 'even', 'bother', 'state', 'machinery', 'ofcourse', 'blame', 'think', 'lowly', 'creature', 'even', 'bring', 'bl']",2021-07-07T19:17:58Z,-0.0572
25,"['first', 'change', 'indian', 'constitution', 'make', 'india', 'fascist', 'country', 'like', 'taliban', 'put', 'everyone', 'bar', 'oppose', 'government']",2021-07-08T05:21:56Z,-0.2732
227,"['michael', 'brite', 'cow', 'holy', 'animal', 'everyone', 'know', 'conversion', 'factory', 'run', 'christian', 'misinory', 'people', 'already', 'convert', 'new', 'survey', 'show']",2021-07-08T06:40:21Z,0.0
228,"['gurinder', 'singh', 'usa', 'biggest', 'human', 'right', 'abuser']",2021-07-08T06:41:10Z,-0.5574
229,"['vinod', 'yadav', 'u', 'mean', 'conversion', 'factory', 'even', 'r', 'convert', 'u', 'care', 'u', 'remain', 'faithful', 'ur', 'religion', 'bro']",2021-07-08T06:44:23Z,0.7269
48,"['yes', 'agree']",2021-07-08T06:46:26Z,0.6369
