,Reply,sentiment
187,"['ashish', 'sharma', 'yeahafter', 'many', 'plea']",0.0
188,"['michael', 'brite', 'atleast', 'get', 'bail', 'uapa']",0.0
189,"['ashish', 'sharma', 'big', 'deal', 'leave', 'free', 'first', 'bail', 'even', 'pregnant', 'woman', 'imprison']",0.4767
190,"['michael', 'brite', 'provision', 'bail', 'first', 'instance', 'accuse', 'book', 'uapa', 'condition', 'bail', 'depend', 'upon', 'material', 'evidence', 'provide', 'prosecution', 'defense', 'pregnancy', 'condition', 'bail', 'first', 'instance']",-0.5423
191,"['ashish', 'sharma', 'first', 'place', 'r', 'even', 'book', 'uapa', 'kill', 'anyonethey', 'protest', 'right', 'protest']",-0.8271
192,"['michael', 'brite', 'book', 'uapa', 'might', 'evidence', 'upto', 'court', 'grant', 'bail', 'right', 'protest', 'make', 'loophole', 'hide', 'misdeed', 'moreover', 'stan', 'swamy', 'die', 'cardiac']",-0.6249
193,"['yeah', 'like', 'fr', 'stan', 'shame', 'raise', 'voice', 'govt', 'n', 'r', 'jail', 'terrorist', 'law', 'shame']",-0.802
194,"['michael', 'brite', 'know', 'reality', 'let', 'law', 'take', 'course']",0.0
195,"['half', 'knowledge', 'dangerous']",-0.4767
196,"['edna', 'jam', 'true']",0.4215
197,"['ur', 'antinational', 'hindu', 'support', 'antinational']",0.4019
198,"['mohd', 'ghani', 'badwa', 'patriot', 'love', 'india', 'modi', 'government']",0.6369
199,"['best', 'hope', 'lol', 'hinduhating', 'monotheistic', 'cult', 'nothing', 'india', 'ramachandran', 'also', 'convert', 'since', 'ashamed', 'naxalite', 'dy', 'natural', 'death', 'sadhu', 'lynch', 'christian', 'convert']",0.6597
200,"['sanatani', 'first', 'gobar', 'head', 'need', 'certificate', 'patriotic']",0.0
201,"['best', 'hope', 'lol', 'convert', 'sell', 'soul', 'church', 'abuse', 'hindu', 'heathen', 'every', 'sunday', 'abuse', 'hindu', 'god', 'satan', 'abuse', 'hindu', 'gobar', 'head', 'sure', 'patriotic', 'tell', 'next', 'joke', 'goa', 'inquisition', 'love']",0.5994
202,"['sanatani', 'first', 'weaked', 'creature', 'waste', 'time', 'come', 'let', 'teach', 'little', 'real', 'n', 'live', 'god', 'christian', 'r', 'convert', 'child', 'real', 'n', 'live', 'god', 'create', 'heaven', 'n', 'earth', 'word', 'n', 'word', 'jesus', 'christ']",0.6454
203,"['sanatani', 'first', 'read', 'buddhist', 'persecution', 'hindu', 'king', 'upper', 'caste', 'persecution', 'lower', 'caste', 'sanatani', 'history', 'pious', 'either', 'go', 'tend', 'cow']",-0.296
