Name,Comment,tone
Toxic🤫,Mere pyare desh incredible india digital india ka law deserve karta hai 👎🏿,"{'document_tone': {'tones': [{'score': 0.586262, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.543112, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
Toxic🤫,Hai is desh ka law ghatiya sala ek normal si FIR krane jao to kuch wardi wale gunde ek FIR k liye Tang karte hain baki ki kya hi umeed ki ja skti hai.,{'document_tone': {'tones': []}}
Toxic🤫,Mai samjhta hu ki unki kismat itni Kharab hai jinka janam is desh me ho rha ab Hoga they are very unlucky 😂😂😂😂,{'document_tone': {'tones': []}}
Toxic🤫,Jo Inke sath hua is hisab se mai desh k law 💩 k equal hai kyuki logo ko tang karne k law bane hain,"{'document_tone': {'tones': [{'score': 0.560944, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
Toxic🤫,Desh me itne attacks hote hain ye desh me kese entry kar Jate hain kahi to weak points hai na yani ki ye dalle bike huye hain border se leke parties tak,"{'document_tone': {'tones': [{'score': 0.500938, 'tone_id': 'fear', 'tone_name': 'Fear'}]}}"
Toxic🤫,Jo log Is desh ki aur government ki maar k chale jate Hain unka ye kuch nhi kar pate lekin UAPA ka mis use ho rha hai chinta na karo is desh ki aur maari jayegi kyuki border se leke centre tak kai dalal bike huye hain,{'document_tone': {'tones': []}}
અનિલ મકવાણા,AATMAAOKO SHAANTI DE HE UPARVAALE JIVIT DEVAADHIDEV PRABHU YESHU MASIH SATGURUDEV,"{'document_tone': {'tones': [{'score': 0.61746, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Clifford Fernandes Cyril,RIP Fr Stan Swamy..,"{'document_tone': {'tones': [{'score': 0.684213, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Vandana Kharat,Mera Bharat mahan??????🤔 Aaj khna pdega sirf modi hai mahan😭😭😭😭,"{'document_tone': {'tones': [{'score': 0.693907, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
joseph cherian,Good analysis sir,"{'document_tone': {'tones': [{'score': 0.734775, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.991736, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Free Soul,"Buddha in the traffic jam dekhna , saara doubt clear ho jyega , ye vo log hein jo Maoists dwara crpf ke jawano ke marne pr khush hote hein","{'document_tone': {'tones': [{'score': 0.609997, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
Chetan Sharma,All anti nationalist are superhuman according to mr ravish congressi,"{'document_tone': {'tones': [{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.874372, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
