,Comment,sentiment
115,"['jihadi', 'mar', 'gya', 'ndtv', 'murdabad', 'father', 'ndtv', 'ka']",0.0
116,"['true', 'reporter', 'sir']",0.35
117,"['charge', 'indulge', 'anti', 'nationa', 'activity']",0.0
118,"['yee', 'jail', 'kyu', 'thaa']",-0.1
119,"['desh', 'drohi', 'naksali', 'mr', 'gaya', 'ek', 'gaddar', 'kam', 'ho', 'gaya', 'ye', 'cristian', 'hai', 'phir', 'ye', 'swami', 'kyu', 'likhta', 'tha', 'apne', 'nam', 'pe', 'iska', 'pura', 'kam', 'hi', 'dogla', 'pani', 'ka', 'tha']",0.0
120,"['binomro', 'sradhanjoli']",0.0
121,"['choose', 'govt', 'govt', 'choose', 'govt', 'blame', 'indian', 'vote', 'bjpp', 'teach', 'lesson', 'muslimssssand', 'injustice', 'society', 'happy', 'indian', 'get', 'taste', 'medicine']",0.8
122,['thank'],0.0
123,"['stan', 'swami', 'put', 'dark', 'stain', 'bjp', 'govt']",-0.15
124,"['hamri', 'area', 'ke', 'adivashi', 'humaru', 'kahi', 'kahi', 'jagah', 'kabja', 'kiya', 'hain', 'enhi', 'logo', 'ne', 'palghar', 'main', 'sadhu', 'driver', 'ko', 'mara', 'tha', 'sarkar', 'ne', 'jyda', 'skim', 'jyda', 'restion', 'dey', 'rahe', 'pura', 'fyda', 'unko', 'family', 'mr', 'rahi', 'hain']",0.16666666666666666
125,"['rip', 'father', 'stan', 'stanley']",0.0
126,"['rip', 'father']",0.0
127,"['finally', 'become', 'good', 'communist']",0.35
128,"['shameless', 'bjp', 'still', 'never', 'step']",0.0
129,"['modi', 'amp', 'amitshah', 'dont', 'heart', 'dictator']",0.0
130,"['well', 'keep', 'taloja', 'jail', 'maharashtra', 'come', 'state', 'government']",-0.1
131,"['fail', 'matric', 'cheat', 'lalu', 'son', 'blame', 'nitish']",-0.5
132,"['tukde', 'gang', 'celebrate', 'sten', 'ravish', 'celebrate', 'lalu', 'kidnapper', 'criminal']",-0.4
133,"['ram', 'lie', 'congress', 'cf', 'ravish']",0.0
134,"['indira', 'kill', 'jai', 'jai', 'prakash']",0.0
135,"['dishonest', 'kashmir', 'leader', 'ravish', 'ideal']",0.30000000000000004
136,"['please', 'check', 'kitto', 'advertisement', 'video', 'check', 'ayushman', 'bharat', 'hospital', 'try']",0.0
137,"['rubbish', 'try', 'hard', 'sct', 'like', 'magasaysay', 'winner']",-0.2916666666666667
138,"['court', 'apply']",0.0
139,"['undertrials', 'since', 'anything', 'do']",0.0
140,"['law', 'without', 'law', 'do', 'judge', 'date', 'date']",0.0
141,"['jail', 'trap', 'like', 'pragya']",-0.1
142,"['araam', 'haraam']",0.0
143,"['long', 'put', 'country', 'n', 'people']",-0.05
144,['vvip'],0.0
145,"['sad', 'india', 'get', 'freedom', 'evil', 'stand', 'itn', 'indian', 'people', 'get', 'education', 'evil', 'n', 'innocent', 'put', 'jailmany', 'innocent', 'people', 'jailwhat', 'happen', 'god', 'happywe', 'suffer', 'lot', 'innocent', 'one', 'tear']",-0.16666666666666666
146,"['truth', 'naton']",0.0
147,"['year', 'ho', 'gaya', 'ravish', 'kumar', 'tu', 'bharua', 'bhi', 'nahi', 'pachega', 'shame', 'ravish', 'kumar', 'bihar', 'ashamed', 'belong']",0.0
148,"['sincere', 'salute', 'great', 'depart', 'soul', 'fr', 'stan', 'swamy', 'ashamed', 'heartless', 'unlawful', 'torture', 'passive', 'support', 'heinous', 'offence', 'police', 'investigative', 'agency', 'nia', 'judiciary']",0.65
149,"['evm', 'evm']",0.0
150,"['please', 'tell', 'one', 'know', 'law', 'make', 'innocent', 'people', 'involve', 'false', 'criminal', 'case', 'cause', 'weste', 'precious', 'year', 'behind', 'bar', 'thus', 'ruin', 'family', 'socially', 'economically', 'gruesome', 'impect', 'literally', 'go']",-0.20000000000000004
151,"['well', 'explain']",0.0
152,"['total', 'failure', 'pillar', 'indian', 'democracy']",-0.15833333333333335
153,"['literally', 'cry', 'stop', 'cry', 'country', 'leave', 'insham', 'u', 'brutal', 'inhuman', 'institutional', 'murder', 'god', 'bless', 'soul']",-0.875
154,"['avrage', 'age', 'indian', 'ravish', 'comon', 'dude']",0.0
155,"['shame', 'justice', 'system', 'police', 'dept', 'become', 'slave', 'hindutva']",0.0
156,"['may', 'soul', 'fr', 'stan', 'swamy', 'rest', 'peace']",0.0
157,"['pm', 'kya', 'bol', 'raha', 'hai', 'kush', 'hai']",0.0
158,"['terrorist', 'accuse', 'pragya', 'thakur', 'get', 'bail', 'medical', 'grind', 'see', 'participate', 'political', 'riot', 'fr', 'stan', 'swamy', 'medically', 'diagnose', 'disease', 'cud', 'give', 'bail', 'medical', 'grind', 'wah', 'modi', 'jee', 'wah']",0.0
159,"['surely', 'work', 'among', 'poor', 'adivasis', 'go', 'vain']",0.04999999999999999
160,"['justice', 'crucify', 'like', 'poor', 'old', 'man', 'evil', 'take', 'custody', 'never', 'question', 'stop', 'meet', 'people', 'new', 'sanjiv', 'bhatt']",-0.2909090909090909
161,"['sal', 'ka', 'jarjar', 'sarir', 'wala', 'desh', 'bhakat']",0.0
162,['uapa'],0.0
163,"['rabish', 'kumar', 'ke', 'mounh', 'se', 'rabish', 'baatein', 'hi', 'nikal', 'sakti', 'hain', 'jab', 'nia', 'ne', 'sadvi', 'pragya', 'ko', 'pakra', 'tha', 'wo', 'maamla', 'sacha', 'tha', 'aur', 'father', 'stan', 'swamy', 'ko', 'galt', 'pakra', 'gya', 'wa', 'rabish', 'wah', 'rabish', 'mr', 'judge', 'know', 'person', 'age', 'conspire']",0.0
164,"['system', 'failedmrravish', 'really', 'great']",0.8
165,"['shame', 'shme', 'jangal', 'raj']",0.0
166,"['one', 'twelve', 'apostle', 'christ', 'die', 'martyr', 'illegal', 'imprisonment', 'work', 'goodness', 'people', 'whether', 'hindu', 'muslim', 'christian', 'etc', 'serve', 'make', 'bring', 'peace', 'prosperity', 'country', 'work', 'better', 'man', 'human']",0.0
167,"['election', 'unite', 'show', 'exit', 'dooor', 'bjp', 'end', 'doctatorship', 'rule']",0.0
168,"['stan', 'pay', 'karma']",0.0
169,"['kind', 'christian', 'would', 'keep', 'hindu', 'surname', 'like', 'swamy', 'hypocrite']",0.3
170,"['ensure', 'death', 'keep', 'captivity']",0.0
171,"['sara', 'bekasuro', 'ko', 'insaaf']",0.0
172,"['chor', 'court', 'barpai', 'de', 'asa', 'nojjawano', 'ko']",0.0
173,"['please', 'talk', 'coversion', 'also']",0.0
174,"['heart', 'touch', 'newsitna', 'kast', 'sahna', 'pada', 'father', 'stan', 'swami', 'kodukh', 'sahte', 'sahte', 'dam', 'tod', 'diyastan', 'swami', 'ko', 'mar', 'diya', 'gayastan', 'swami', 'ko', 'jaldse', 'jald', 'niyai', 'milna', 'chahiyei', 'proud', 'swami', 'jipraise', 'lord']",0.8
175,"['nambinarayan', 'psudos']",0.0
176,"['god', 'almighty', 'reward', 'child', 'stan', 'swamy', 'run', 'race', 'jesus', 'protect', 'family']",0.0
177,"['dale', 'steyn', 'ka', 'bhai', 'tha']",0.0
