,Reply,sentiment
127,"['rohit', 'suryavanshi', 'bete', 'officer', 'ka', 'naam', 'suna', 'hai', 'wahi', 'hu', 'thoda', 'tameez', 'rah', 'le']",0.0
128,"['md', 'saif', 'ali', 'agar', 'maine', 'apne', 'bare', 'main', 'bata', 'diya', 'ki', 'main', 'kon', 'hu', 'kaya', 'karta', 'hu', 'toh', 'tera', 'retirement', 'karba', 'kar', 'ghar', 'betha', 'duga']",0.12777777777777777
129,"['rohit', 'suryavanshi', 'apna', 'phone', 'number', 'send', 'kro', 'pta', 'chal', 'jayega']",0.0
130,"['sachin', 'bhangare', 'tuze', 'kuch', 'malum', 'isme', 'tu', 'ku', 'bol', 'raha', 'hai']",0.0
131,"['md', 'saif', 'ali', 'tuze', 'itni', 'problem', 'kya', 'hai']",0.0
132,"['vikram', 'patil', 'rood']",0.0
133,"['md', 'saif', 'ali', 'tuze', 'ye', 'problem', 'malum', 'hai', 'kya']",0.0
134,"['md', 'saif', 'ali', 'hahah', 'hahaha', 'puri', 'zindagi', 'ghar', 'main', 'betha', 'duga', 'hath', 'per', 'bhi', 'kaam', 'nahi', 'karenge']",0.18333333333333335
135,"['well', 'muthibhar', 'aadivasi', 'feku', 'nothing']",0.0
136,"['rip', 'stan', 'swamy', 'country', 'really', 'deserve']",0.2
137,"['arupananda', 'naik', 'acha', 'joke', 'tha']",0.0
138,"['rohit', 'suryavanshi', 'deserve', 'actor', 'like', 'feku']",0.0
139,"['rohit', 'suryavanshi', 'apna', 'number', 'send', 'kro', 'budhizevi', 'bche']",0.0
140,"['md', 'saif', 'ali', 'mere', 'bare', 'main', 'pata', 'mat', 'kar', 'nahi', 'toh', 'puri', 'zindagi', 'ghar', 'main', 'chup', 'kar', 'nikalni', 'padegi', 'tu', 'shukr', 'kar', 'ki', 'tu', 'bacha', 'hua', 'hain']",-0.029166666666666667
141,"['arupananda', 'naik', 'vampanthi', 'convert', 'stan', 'se', 'jada', 'bada', 'feku', 'nahi', 'hoga']",0.0
142,"['rohit', 'suryavanshithat', 'darendra', 'actor', 'everybody', 'know', 'stan', 'swamy', 'brave', 'person']",0.8
143,"['rohit', 'suryavanshi', 'yes', 'fattu', 'darendra', 'never', 'good', 'stan']",-0.35
144,"['rohit', 'suryavanshi', 'abe', 'bete', 'tmse', 'meine', 'kaha', 'number', 'de', 'par', 'tm', 'sirf', 'haak', 'rhe', 'ho', 'chalo', 'koi', 'baat', 'nhi', 'bche', 'sbse', 'dhyaan', 'rkhna']",0.0
145,"['arupananda', 'naik', 'vampanthi', 'apne', 'ap', 'ko', 'brave', 'hi', 'khte', 'hain', 'isliye', 'lekin', 'hote', 'nahi', 'hain', 'kyuki', 'vampanthi', 'ideology', 'ne', 'puri', 'duniya', 'main', 'milion', 'log', 'mar', 'diye', 'brave', 'vampanthi', 'ideology', 'ne']",0.5888888888888889
146,"['rohit', 'suryavanshi', 'dakshinpanthi', 'kill', 'innocent', 'people', 'get', 'land', 'property', 'shamelessly', 'declare', 'good', 'brave']",0.6666666666666666
147,"['rohit', 'suryavanshi', 'bjp', 'member', 'rioter', 'blame', 'highlight', 'crime', 'divert', 'mind', 'people']",0.0
148,"['rohit', 'suryavanshi', 'death', 'murder', 'yr', 'darendra', 'fear', 'yr', 'patient', 'stan', 'hence', 'prove']",0.0
