,Reply,Published,sentiment
633,"['satish', 'kumar', 'context']",2021-07-06T04:06:24Z,0.0
1092,"['satish', 'kumar', 'bhagvan', 'se', 'prarthna', 'kar', 'ki', 'tu', 'corona', 'kaal', 'se', 'bach', 'sakkae']",2021-07-06T04:07:28Z,0.0
1000,"['satish', 'kumar', 'tu', 'din', 'kitna', 'baar', 'gobar', 'khata', 'hai', 'rupee', 'cell']",2021-07-06T04:10:06Z,0.0
325,"['thing', 'use', 'current', 'government', 'effectively']",2021-07-06T04:13:24Z,0.4404
371,"['urban', 'naxal']",2021-07-06T04:15:38Z,0.0
518,"['satish', 'kumar', 'quot', 'quot']",2021-07-06T04:18:01Z,0.0
567,"['debate', 'someone', 'whose', 'mind', 'full', 'cow', 'dung', 'good', 'make', 'family', 'community', 'educate', 'betterthe', 'call', 'agent', 'shit', 'weaken', 'muslim', 'avenge', 'muslim', 'hole', 'idiot']",2021-07-06T04:18:08Z,-0.7783
1093,"['useless', 'coz', 'hindu', 'population', 'love', 'worahip', 'people', 'like', 'pragya', 'thakur', 'bomb', 'kill', 'innocent']",2021-07-06T04:18:22Z,-0.3818
356,"['sab', 'changa', 'si']",2021-07-06T04:18:50Z,0.0
330,"['common', 'man', 'india', 'doom', 'people', 'vote', 'grave', 'look', 'corona', 'situation', 'price', 'necessary', 'commodity', 'last', 'year', 'destroy', 'life', 'many', 'still', 'government', 'say', 'quot', 'sab', 'changasi', 'quot']",2021-07-06T04:18:51Z,-0.8316
923,"['kuch', 'bhi', 'hoaayega', 'tau', 'modi', 'hihahahhaha']",2021-07-06T04:21:53Z,0.0
619,"['kuch', 'bhi', 'hoaayega', 'tau', 'modi', 'hihahahhaha']",2021-07-06T04:22:00Z,0.0
357,"['kuch', 'bhi', 'hoaayega', 'tau', 'modi', 'hihahahhaha']",2021-07-06T04:22:08Z,0.0
620,"['father', 'vatican', 'conversion', 'swamy', 'dead']",2021-07-06T04:35:57Z,-0.6486
372,"['father', 'vatican', 'conversion', 'dead']",2021-07-06T04:38:21Z,-0.6486
476,"['urban', 'naxal', 'dead']",2021-07-06T04:38:52Z,-0.6486
648,"['way', 'urban', 'naxals', 'sleep', 'vatican', 'conversion', 'head', 'dead', 'good', 'riddance']",2021-07-06T04:40:17Z,-0.34
553,"['vatican', 'conversion', 'stanley', 'dead', 'librandus', 'sad']",2021-07-06T04:41:00Z,-0.8126
358,"['sanju', 'b', 'haa', 'kya', 'kare', 'agar', 'nahi', 'aya', 'sare', 'deshwasio', 'ko', 'gaddar', 'karar', 'kar', 'emergency', 'declare', 'kar', 'dega']",2021-07-06T04:41:59Z,-0.3818
590,['eww'],2021-07-06T04:43:46Z,0.0
649,"['sumba', 'jumba', 'charge', 'prove', 'even', 'enemy', 'regime', 'deserve', 'better', 'aesa', 'toh', 'koi', 'dushmano', 'k', 'sath', 'bhi', 'nahi', 'kartahe', 'fellow', 'countryman', 'please', 'empathy']",2021-07-06T04:43:59Z,0.1779
279,"['people', 'leave', 'hinduism', 'despite', 'case']",2021-07-06T04:49:25Z,-0.0516
924,"['kill', 'father', 'countryso', 'kill', 'father', 'adivasis', 'big', 'deal', 'themreal', 'sanatan', 'dharam', 'sarvam', 'brahmamayam', 'god', 'e', 'v', 'e', 'r', 'n', 'e']",2021-07-06T04:53:52Z,-0.8519
359,"['like', 'spend', 'stupid', 'statue', 'vaccine', 'diplomacy', 'vaccinesbjp', 'hatao', 'desh', 'bachao']",2021-07-06T04:55:51Z,-0.2263
533,"['prebjp', 'would', 'incense', 'commentbut', 'ala', 'true']",2021-07-06T04:57:13Z,0.4215
650,"['criminal', 'justify', 'crime', 'important', 'sleep', 'soundly', 'night']",2021-07-06T04:58:17Z,-0.7269
373,"['thsi', 'would', 'good', 'place', 'identify', 'urban', 'naxels', 'society', 'proud', 'day', 'naxel', 'dy', 'objective', 'conversion', 'adivasis', 'catholic', 'stop', 'sympathy']",2021-07-06T04:59:37Z,0.743
554,"['welcome', 'goondutvocracybjpishtyle']",2021-07-06T04:59:49Z,0.4588
336,"['supreme', 'court', 'jesus']",2021-07-06T05:00:06Z,0.5574
360,"['file', 'case', 'sure']",2021-07-06T05:00:42Z,0.3182
374,"['already', 'northeast', 'major', 'newspaper', 'oped', 'plant', 'narrative', 'quotprophetquot', 'like', 'figure', 'get', 'publish']",2021-07-06T05:03:59Z,0.3612
971,['true'],2021-07-06T05:06:38Z,0.4215
651,"['saurabh', 'dave', 'roman', 'catholic', 'missionary', 'later', 'become', 'communist', 'activist', 'fancy', 'term', 'would', 'rather', 'stand', 'paramilitary', 'police', 'die', 'hand', 'naxals', 'rather', 'commie', 'missionary']",2021-07-06T05:07:56Z,-0.1779
361,"['sir', 'mehnat', 'di', 'kamaii', 'mehnat']",2021-07-06T05:08:13Z,0.0
925,"['ricebag', 'convert', 'convert', 'people', 'call', 'activist']",2021-07-06T05:08:55Z,0.0
591,"['court', 'brojudges', 'responsible']",2021-07-06T05:09:00Z,0.3182
652,"['sumba', 'jumba', 'i', 'desh', 'main', 'na', 'catholic', 'hona', 'crime', 'hai', 'na', 'hi', 'communist', 'honathik', 'hai', 'bhaiek', 'saal', 'k', 'buddhe', 'ko', 'maar', 'k', 'aapko', 'lagta', 'hai', 'naxalism', 'pe', 'vijay', 'mil', 'gayi', 'hai', 'toh', 'thik', 'haikhush', 'raho']",2021-07-06T05:20:08Z,-0.5423
375,"['lallu', 'ram', 'yeah', 'missionary', 'afterall']",2021-07-06T05:21:04Z,0.296
568,"['yogshastri', 'answer', 'none', 'convictedif', 'guilty', 'court', 'fail', 'convict', 'eventually', 'acquit', 'charge', 'jailedi', 'agree', 'convict', 'shoot', 'dead']",2021-07-06T05:21:36Z,-0.6776
592,"['judge', 'human', 'much', 'corrupt', 'like', 'u']",2021-07-06T05:22:36Z,0.3612
640,"['real', 'culprit', 'judge', 'justiciary', 'long', 'keep', 'blame', 'govt', 'court', 'hold', 'accountable', 'nothing', 'change']",2021-07-06T05:22:58Z,-0.34
653,"['saurabh', 'dave', 'kam', 'se', 'kam', 'ek', 'naxali', 'kam', 'huyakitne', 'crpf', 'ke', 'log', 'maar', 'naxalio', 'ne', 'jaake', 'apne', 'naxali', 'baba', 'ke', 'liye', 'candle', 'jalayo', 'idhar', 'natak', 'mat', 'karo', 'kaunsa', 'activist', 'christian', 'missionary', 'tha', 'ye', 'ji', 'hospital', 'tha', 'tax', 'ke', 'paisa', 'pe', 'tha', 'apne', 'pais']",2021-07-06T05:24:11Z,0.0
926,['gamer'],2021-07-06T05:24:13Z,0.0
654,"['sumba', 'jumba', 'ha', 'bhaiyeh', 'aadmi', 'jo', 'chal', 'bhi', 'nahi', 'saktabohot', 'crpf', 'k', 'jawaano', 'ko', 'maar', 'detaekdum', 'correct', 'baat', 'haii', 'agreekhush', 'raho']",2021-07-06T05:27:57Z,0.34
927,['k'],2021-07-06T05:33:51Z,0.0
655,"['saurabh', 'dave', 'apna', 'gyaan', 'apne', 'paas', 'rakhein', 'poori', 'zindagi', 'isne', 'kya', 'kaam', 'kiya', 'hai', 'conversion', 'naxals', 'operation', 'kyu', 'tara', 'khayein', 'aise', 'aadmi', 'pe', 'jo', 'itne', 'crpf', 'ke', 'log', 'marte', 'hai', 'librandu', 'kabhi', 'unki', 'baat', 'nahi', 'karte', 'accha', 'hua', 'mar', 'gya', 'missionary']",2021-07-06T05:35:53Z,0.0
